RecordID,AerolineaCodigo,AerolineaNombre,NumeroVuelo,VueloNaturalKey,AeropuertoOrigenCodigo,AeropuertoDestinoCodigo,FechaHoraSalida,FechaHoraLlegada,DuracionMinutos,EstadoVueloCodigo,RetrasoMinutos,TipoAeronaveCodigo,ClaseCabinaCodigo,Asiento,PasajeroID,GeneroCodigo,EdadPasajero,NacionalidadCodigo,FechaHoraReserva,CanalVentaCodigo,MetodoPagoCodigo,PrecioBoleto,MonedaCodigo,PrecioUSD,EquipajeTotal,EquipajeFacturado,HashPasajero
11,B6,JETBLUE,B64066,0ac788e68adfa0ba880e2e9621b92637dbfc5295645453565ac187242fb42add,LIM,SAL,2024-04-25 00:40:00,2024-04-25 05:03:00,265,ON_TIME,0,A321,ECONOMY,45A,e2c0910b-2c80-4069-a4ee-126d60a2fc49,M,53,US,2024-01-29 21:18:00,AEROPUERTO,PAYPAL,75.26,EUR,82.03,2,1,610239f6883006ec7ab8fff7b07eb6661c867ea379e46ff524aad2af2db7c6a5
12,CM,COPA AIRLINES,CM5140,eeec64c53fbd36c1929a1bfde43ee0aad59155d813e8d3eb87194a7d5feb80de,JFK,GUA,2024-06-04 00:18:00,2024-06-04 05:10:00,280,ON_TIME,0,A321,PREMIUM_ECONOMY,12B,7e4b4028-59eb-49e5-b69d-ed73dfcc6777,F,34,PE,2024-04-21 15:23:00,WEB,TRANSFERENCIA,66.78,USD,66.78,1,0,5f5c32ab303bd7c6f93620d277208b2983727851bbc1fb806ec2f15d5ff0eb7d
13,IB,IBERIA,IB8978,5f72d4a82dc96e2bb897938fa43bd9bb3a5bd809ade344276e83db5520f5a5bf,GUA,SJO,2025-07-04 12:42:00,2025-07-04 17:00:00,268,ON_TIME,0,B737,PREMIUM_ECONOMY,12C,21e07948-ceca-4cf7-93ec-df4e955802df,M,26,CU,2025-03-08 02:03:00,AGENCIA,TARJETA,114.32,GTQ,14.63,1,0,4771eddb3bb11d8d49ac9cb766ed4fbd4563def03ffcb8594fa32ee0ccdd6074
14,FR,RYANAIR,FR6292,d2fe12adc658268b48454619ef8e8421f319c139caaf1fbc42d38b604907e03c,LAX,SAP,2024-12-27 04:00:00,2024-12-27 08:49:00,271,ON_TIME,0,E190,ECONOMY,41F,21ebdba7-16cb-4925-81e3-5ba69426a662,F,19,ES,2024-10-21 06:20:00,AEROPUERTO,TRANSFERENCIA,92.9,USD,92.9,3,2,76aeb4d8b20566a0e39d3d9637f70d0d3e769dd8ab999dde9529faa5fc2d21b2
15,AA,AMERICAN AIRLINES,AA4051,291e6f918641bdb12bc7b7ffae04345b5382d442dd88e366b226ee06acb2d430,HAV,CUN,2024-11-26 05:17:00,2024-11-26 11:03:00,157,DELAYED,188,B777,ECONOMY,17E,b02b9caf-10e1-4377-8bdb-135a9ccf910c,F,26,SV,2024-09-28 00:26:00,CALL_CENTER,PUNTOS,73.55,EUR,80.17,1,0,f7b99460ed2a18f5539670d189abe0ccf9f7709039e516860c7d8f9f66801b08
16,CM,COPA AIRLINES,CM6390,c27f7491522a331f19ab1aae205362c2a0becabd23692444b6c47c3ff7c93d30,SAL,MIA,2025-07-08 05:26:00,2025-07-08 08:42:00,191,ON_TIME,0,B757,ECONOMY,33A,e17e7f2d-7fcc-41c8-bb9f-7072f42fb70e,M,26,PE,2025-04-10 00:41:00,APP,TARJETA,155.76,USD,155.76,1,0,b08d641bfc5f2e867b2bd81c6fe358738601a6a80b66880431fe6dc2a6ea27d0
17,B6,JETBLUE,B64559,df899f2c583b1eed7d35d056a459fe1193eba75dcf93eefca0d61b1857f65286,JFK,GUA,2025-01-14 05:15:00,2025-01-14 07:59:00,157,ON_TIME,0,B738,ECONOMY,26F,2b55128f-ba79-44ed-b532-6e0b923c3a52,F,33,MX,2024-09-27 14:17:00,APP,PUNTOS,56.25,USD,56.25,2,1,859eb508bc50eff0ecd8187d18ffd054a3200c408047b3329a8f9a319e13acee
18,BA,BRITISH AIRWAYS,BA5112,b9fe3250aaf4d5eeb7de52d76a3583fd98eb1aed7d53a7da282f959c9660642a,BOG,SAP,2024-10-02 10:56:00,2024-10-02 14:44:00,224,ON_TIME,0,B757,PREMIUM_ECONOMY,11A,17b4ba01-32a0-41b5-b34b-e6bb9018f748,M,44,GT,2023-11-22 06:41:00,APP,PAYPAL,71.73,GTQ,9.18,1,0,4d02fe2539f9474380c36a6b8becade6485070e5e9c032f8137afe61a3d8e0c9
19,AA,AMERICAN AIRLINES,AA8818,eaa9f06f419010067ffffd4eae3222011f058fb9789d7bce454b44fd93318ba4,LIM,SJO,2025-06-20 09:59:00,2025-06-20 16:10:00,366,ON_TIME,0,CRJ9,ECONOMY,43F,d31d8eae-32b7-48b1-b64c-ae56e9845cbf,F,36,CR,2025-03-11 08:37:00,AEROPUERTO,PAYPAL,41.02,GTQ,5.25,0,0,117c07e19e28f9cbfb5c795b9bed1d475d869f15486990776b946b91b7babeea
20,UA,UNITED,UA0283,8ce114287c20f5b981fa791e2b2daed615a21e5060c8f6bcc536e884986459de,SAL,BOG,2024-08-04 15:35:00,2024-08-04 22:50:00,275,DELAYED,155,CRJ9,ECONOMY,28C,c412d449-b67a-42bc-b23d-f59c13f5ad16,F,16,CO,2024-07-11 00:22:00,AGENCIA,TRANSFERENCIA,87.26,USD,87.26,2,1,4f206a7c2b5d26cbf1f6bf148bdd0e4f69558ca42ae217e3ad9c94f9602dcd4b
21,AM,AEROMEXICO,AM2940,dafcdd6cfc1badf1a068834593b4f1ad43fa3a2971051398abefd47e6785e195,BCN,LIM,2025-03-05 21:29:00,2025-03-06 02:57:00,316,ON_TIME,0,A319,ECONOMY,26C,56195096-fe30-47bc-a6de-aa62f3d9281c,M,43,ES,2025-01-31 14:22:00,APP,TRANSFERENCIA,86.49,USD,86.49,1,0,cb2bdae39391887e4d198152d2cd0c9d96e4be2190e48c5e7365210a34589a13
22,WN,SOUTHWEST,WN7382,be18a9ec31ff70d37bd68eda633abf846c92b5cddfcd1a0360ec4ecb7222d3a5,LAX,JFK,2025-06-25 16:48:00,2025-06-25 18:58:00,109,ON_TIME,0,B787,ECONOMY,25D,de70edaa-9a05-4c20-8837-63dfa03d9c81,M,32,MX,2025-06-18 07:53:00,CALL_CENTER,TARJETA,73.3,MXN,4.25,1,0,dae46364c225a89d50cde4f86a2e21e766a1518df1bfea5f1687be286a865fc8
23,B6,JETBLUE,B63684,b448dc6d4d86e62344a93e4fd2306c4054671f7981e858e41a6ce7379b6c7379,SAL,MEX,2025-04-18 12:20:00,2025-04-18 13:58:00,95,ON_TIME,0,A319,ECONOMY,18B,4d67f77b-4318-4a9d-bfd4-9b50c2d4ce76,M,14,SV,2025-03-28 11:54:00,CALL_CENTER,PUNTOS,63.31,USD,63.31,0,0,ac6f1111fcfd59a660556e6ebba881230e66ee9b787544633b56da3d29614e0a
24,IB,IBERIA,IB2871,eff9b1c27e2ce86357adec741829a76734853178ac805fa862f662c15bdd8cc4,LIM,SAP,2025-08-04 17:35:00,2025-08-04 23:19:00,336,ON_TIME,0,B738,ECONOMY,25F,59176173-a550-473c-a59b-530ddea1e321,F,28,HN,2025-05-26 02:07:00,WEB,PUNTOS,117.92,USD,117.92,1,0,5543c59f428079cfe03d44de9b519b92d3c88f4b3f1652a56c1b9bac45d44eb7
25,FR,RYANAIR,FR7243,4a030d827f2ed831a29e1c7f90e12f54806c177ade65031f40d6729da7d7b439,HAV,SJO,2025-01-16 22:25:00,2025-01-17 00:16:00,91,ON_TIME,0,B777,ECONOMY,37A,57ff6a71-ff10-4eff-9f9a-287281b35ed1,M,38,PA,2024-12-10 01:00:00,AEROPUERTO,TARJETA,43.94,USD,43.94,1,0,9b204fc09d793d4d94ecb9d1eb75d6d911ab3a38cd35fb911cac37eb7182ca52
26,BA,BRITISH AIRWAYS,BA6799,107fabb1c7c0d27a66ae7afb4889eb804639bbe755ab4bf8b569f0d310aeb9da,BCN,SAP,2024-04-04 07:32:00,2024-04-04 08:36:00,59,ON_TIME,0,B738,ECONOMY,16E,fb0354d5-7dcc-4014-903f-6829eb9fb32b,M,38,SV,2024-02-04 03:51:00,APP,PAYPAL,71.18,EUR,77.59,1,0,ac6f1111fcfd59a660556e6ebba881230e66ee9b787544633b56da3d29614e0a
27,IB,IBERIA,IB9670,8f96f6ca9d2671ddeb9c901a1343c9c80e2bcca8b95d5472a2bbc28138ea543c,LIM,PTY,2025-03-26 10:33:00,2025-03-26 19:20:00,382,DELAYED,124,B767,ECONOMY,27C,ac03d672-7de2-4a6a-b541-cd6e1ed70986,F,25,PE,2025-01-25 23:38:00,APP,EFECTIVO,100.9,USD,100.9,1,0,5f5c32ab303bd7c6f93620d277208b2983727851bbc1fb806ec2f15d5ff0eb7d
28,AV,AVIANCA,AV1647,f02b59f972b480fd7b29e6add635e82f0a187fbb740e59ba32fe78c9706569ae,SAP,MEX,2024-04-21 23:15:00,2024-04-22 03:28:00,254,ON_TIME,0,A320,PREMIUM_ECONOMY,13C,878a31e4-1663-4007-a347-883165eda244,F,47,CU,2024-04-10 12:21:00,AEROPUERTO,PAYPAL,152.33,EUR,166.04,1,0,b59d70caf06a8ec06fed0355c12c5c167a7d452b75bc2771969d5e08132518bd
29,IB,IBERIA,IB6952,326a6a5e76101bbd3877d86e00849e50ea3c76055f0bed63e676ed77c357db3e,MIA,BCN,2024-10-18 03:32:00,2024-10-18 07:56:00,265,ON_TIME,0,B738,ECONOMY,37B,b1484484-85cb-4601-adaf-c5012df7d5b8,M,23,CR,2024-06-27 14:53:00,APP,PAYPAL,73.1,MXN,4.24,0,0,e6c990813e302ad58485a3c9abbea9879e5ee8e8e0bb8b5d157e802d52b37ade
30,CM,COPA AIRLINES,CM1592,8c9b11bc8144d41b34f45ecceb4837e4ea9afb457d0ce763ea3182cd17c8e00a,SAL,HAV,2024-07-03 05:50:00,2024-07-03 10:02:00,240,ON_TIME,0,B738,FIRST,2A,a3e40f6c-b025-43df-8449-cd5abf98be1d,M,38,GT,2024-04-20 08:01:00,WEB,PUNTOS,435.48,GTQ,55.74,2,1,4d02fe2539f9474380c36a6b8becade6485070e5e9c032f8137afe61a3d8e0c9
31,AM,AEROMEXICO,AM9132,9cbaea9f0595625c3de8f6eadfec631c417c3248eadfea9d12d03de18df4f12f,SAP,LAX,2024-04-12 01:41:00,2024-04-12 03:20:00,91,ON_TIME,0,A320,ECONOMY,22B,160a23a6-8115-4847-ab03-31ee15df795f,F,27,CO,2024-02-03 08:43:00,AGENCIA,EFECTIVO,76.33,USD,76.33,2,1,4f206a7c2b5d26cbf1f6bf148bdd0e4f69558ca42ae217e3ad9c94f9602dcd4b
32,AM,AEROMEXICO,AM6079,871231b478adf47e8b1f276509705a31e6609acc4a5c8dac1a03eb3e063c3c6d,SJO,JFK,2025-08-04 18:35:00,2025-08-05 01:10:00,389,ON_TIME,0,B777,PREMIUM_ECONOMY,13A,2c610753-e7ee-47fb-8f90-6aeb5591c438,M,19,GT,2025-05-16 01:15:00,AEROPUERTO,EFECTIVO,72.35,GTQ,9.26,1,0,4d02fe2539f9474380c36a6b8becade6485070e5e9c032f8137afe61a3d8e0c9
33,DL,DELTA,DL0829,3bbd97ab69f217435ab27cdee59c165f102bc8307b1a0d501a2e3aabc0c0ece4,MAD,BOG,2025-05-23 16:37:00,2025-05-23 18:33:00,95,ON_TIME,0,A319,BUSINESS,6A,b37ccbf5-c063-4263-8a99-b0c5bbc9793c,M,44,PA,2025-03-27 08:43:00,AGENCIA,TARJETA,288.05,EUR,313.97,1,0,9b204fc09d793d4d94ecb9d1eb75d6d911ab3a38cd35fb911cac37eb7182ca52
34,WN,SOUTHWEST,WN1787,c72c63afa683c22d6cfb6956db9e1772afe4de676e3109770d6d975be3b953cf,CUN,SJO,2025-03-31 10:58:00,2025-03-31 13:37:00,155,ON_TIME,0,B787,ECONOMY,44E,16e1d9eb-0a12-4e26-9102-5695c2a0671e,M,33,MX,2025-03-13 17:42:00,APP,TARJETA,115.73,GTQ,14.81,0,0,dae46364c225a89d50cde4f86a2e21e766a1518df1bfea5f1687be286a865fc8
35,FR,RYANAIR,FR9034,8e7e3ab0549853003bd376f6475d14067bdd7a67aa7fe49cf86d028c4d570458,BOG,MAD,2024-08-22 06:47:00,2024-08-22 11:17:00,279,ON_TIME,0,B767,ECONOMY,28D,cb4f6972-510a-4973-bc81-86a3b9d945b8,M,38,PA,2024-08-12 04:27:00,AEROPUERTO,EFECTIVO,64.99,USD,64.99,1,0,9b204fc09d793d4d94ecb9d1eb75d6d911ab3a38cd35fb911cac37eb7182ca52
36,CM,COPA AIRLINES,CM0843,af202f531a59907e2b5723544fb50239045aa0d0fc9127eca4aeadbd3763f7a3,MAD,JFK,2024-11-19 02:36:00,2024-11-19 09:30:00,418,ON_TIME,0,B739,ECONOMY,24C,b704cede-87c6-4584-b538-c22841ecf7e2,F,38,PA,2024-11-09 23:43:00,WEB,TARJETA,139.53,USD,139.53,2,1,d28168c4a108b1ccd1b24caae8806f01696c2464b4d640b7bc083b75ccae06d9
37,DL,DELTA,DL1141,2df869d35adf4b7db42f52a1c620f4a62193e8db428a17c87800c69e05b84f6a,SJO,GUA,2025-01-09 12:39:00,2025-01-09 15:14:00,159,ON_TIME,0,A320,ECONOMY,19C,a889d979-0c73-44c2-ab45-fbff259afe69,M,33,PE,2024-09-21 18:50:00,AEROPUERTO,PUNTOS,140.84,GTQ,18.03,1,0,b08d641bfc5f2e867b2bd81c6fe358738601a6a80b66880431fe6dc2a6ea27d0
38,LA,LATAM,LA0745,150ad21fc3db4c0efc8cf5ec5257c33fb75e491af01706aa4cdf72155ee2ad2e,MAD,LIM,2024-12-18 08:34:00,2024-12-18 12:13:00,219,ON_TIME,0,A320,ECONOMY,40E,bb56a078-2a9b-4b7f-86b4-6935483c00c7,M,,GT,2024-11-28 02:46:00,AEROPUERTO,TARJETA,108.6,GTQ,13.9,1,0,4d02fe2539f9474380c36a6b8becade6485070e5e9c032f8137afe61a3d8e0c9
39,UA,UNITED,UA7539,e71013e7ade93726d3efbfb365cffa5c42b42d7aee79f2df705ceec9e1a99c4e,HAV,GUA,2024-04-16 14:14:00,2024-04-16 17:17:00,175,ON_TIME,0,A321,ECONOMY,39D,8b66a84a-30c4-4da5-bd73-6f8fa4cb669a,M,35,HN,2024-01-16 06:42:00,AEROPUERTO,TRANSFERENCIA,73.36,USD,73.36,2,1,fac54738587acf45b1c5251e5dcd54a73338c15730ea32eda723dd57da3908c6
40,LA,LATAM,LA8096,e7274c202a17d3193e99fec3eda4c804792bdd083757708d6be114cd133f525d,LIM,PTY,2024-11-07 00:55:00,2024-11-07 06:03:00,313,ON_TIME,0,B787,ECONOMY,26B,192b409e-3145-4426-ba04-48c1cfb006c7,F,35,SV,2024-01-09 04:48:00,AEROPUERTO,PUNTOS,40.62,USD,40.62,2,1,f7b99460ed2a18f5539670d189abe0ccf9f7709039e516860c7d8f9f66801b08
41,B6,JETBLUE,B67369,81ee8708f0e9599b45e747d89531cb3ccec576fa43c238151422b2319cdb5107,PTY,LIM,2025-05-08 10:49:00,2025-05-08 19:53:00,364,DELAYED,170,B737,ECONOMY,30A,c923aad6-7e47-4ad1-adce-81aeac9b710d,M,31,ES,2025-01-26 02:12:00,WEB,TRANSFERENCIA,92.29,USD,92.29,1,0,cb2bdae39391887e4d198152d2cd0c9d96e4be2190e48c5e7365210a34589a13
42,DL,DELTA,DL9875,07e0471e11d6325737413948e381d9f7565df75d42707f8f70cefe1b33927eca,SAL,MEX,2024-12-15 22:21:00,2024-12-16 00:09:00,97,DIVERTED,0,B787,ECONOMY,36B,58979d82-08c9-42ac-9006-78158682a4a5,M,53,PA,2024-10-19 05:48:00,AEROPUERTO,EFECTIVO,67.94,USD,67.94,2,1,9b204fc09d793d4d94ecb9d1eb75d6d911ab3a38cd35fb911cac37eb7182ca52
43,IB,IBERIA,IB8844,2b925972fd010ba4f40a1b11f1afba7c7e8860ed20e741796d92c245bc8b1dbc,PTY,HAV,2025-06-26 12:36:00,2025-06-26 19:15:00,384,ON_TIME,0,A320,ECONOMY,18C,42d67ef8-b040-4db4-b516-9966fbf8f582,M,23,CO,2025-03-13 07:54:00,AEROPUERTO,TARJETA,68.33,GTQ,8.75,1,0,1957692af881d16b487be85f68869bdef8c53aa563aeb3821ab44e98e9bae0d1
44,B6,JETBLUE,B66257,62dcbb09cff1b54e14cf3c47e433a80204130f3999b2d3682d72d5d4921174c2,MEX,MIA,2025-04-08 21:28:00,2025-04-09 01:24:00,237,ON_TIME,0,A319,PREMIUM_ECONOMY,15B,777a4bf6-c7af-4c95-81c5-f64ad8deb98a,M,45,PE,2025-02-19 23:42:00,APP,PAYPAL,123.36,USD,123.36,2,1,b08d641bfc5f2e867b2bd81c6fe358738601a6a80b66880431fe6dc2a6ea27d0
45,DL,DELTA,DL1624,3bfc6f2bd50b56db97493e240b3dea61f71836a816aa82102537cde47b03d91b,JFK,BOG,2024-10-02 12:42:00,2024-10-02 21:46:00,373,DELAYED,151,A319,BUSINESS,9E,bb56a403-7eb2-4bcb-a318-6873b27ed1ee,M,27,MX,2024-01-05 21:45:00,AEROPUERTO,EFECTIVO,214.46,MXN,12.44,0,0,dae46364c225a89d50cde4f86a2e21e766a1518df1bfea5f1687be286a865fc8
46,CM,COPA AIRLINES,CM7033,cf87d7217381d23ff95002b302459797b69a7184ba391d849a63def6dec0a292,SJO,LIM,2025-10-07 13:01:00,2025-10-07 15:17:00,116,ON_TIME,0,B787,ECONOMY,18A,32e59c09-72d7-44a4-a8cc-1012e4fccb77,M,35,ZZ,2025-07-27 13:23:00,AEROPUERTO,PAYPAL,114.32,USD,114.32,1,0,6aca951a8a623808b07d67975452c6e83e52f3de85fdf5f21271252209103216
47,AA,AMERICAN AIRLINES,AA7841,e820a5f46eb2c1c0c7f73233ba5a9fd0f639c8658712630e4ce9682f3fabc481,BOG,BCN,2024-10-07 02:08:00,2024-10-07 03:50:00,79,ON_TIME,0,A321,PREMIUM_ECONOMY,15E,8e91f1a6-5b7d-4da6-94b6-de2f2440c0cf,M,24,PA,2024-09-30 05:44:00,AGENCIA,TRANSFERENCIA,98.05,GTQ,12.55,1,0,9b204fc09d793d4d94ecb9d1eb75d6d911ab3a38cd35fb911cac37eb7182ca52
48,AV,AVIANCA,AV8508,4155e353de4f21a9df9da981b76fb2696fd3f50d8b57284ddc99021d166225ab,LAX,MIA,2024-05-06 13:55:00,2024-05-06 16:34:00,67,DELAYED,90,B757,BUSINESS,8D,15692a30-13d7-4f79-8505-af92ee4f144a,M,28,GT,2024-02-28 17:43:00,AGENCIA,TRANSFERENCIA,107.36,MXN,6.23,0,0,4d02fe2539f9474380c36a6b8becade6485070e5e9c032f8137afe61a3d8e0c9
49,DL,DELTA,DL9955,f2163714e9ecdbfad61f897977a8457904eb8b24f4e0784e2bde47b8a28f6bd9,BOG,HAV,2024-08-16 04:12:00,2024-08-16 07:37:00,209,ON_TIME,0,A319,ECONOMY,25D,c62c6b89-fd64-4eeb-b58d-aad1203a0cf0,F,37,MX,2024-05-18 13:50:00,CALL_CENTER,TARJETA,89.24,GTQ,11.42,2,1,859eb508bc50eff0ecd8187d18ffd054a3200c408047b3329a8f9a319e13acee
50,AM,AEROMEXICO,AM8048,7e5beaf506c399b99e28005c7bf86504f253e294816893827085952859712f93,MIA,BOG,2024-10-24 08:55:00,2024-10-24 14:22:00,335,ON_TIME,0,A321,ECONOMY,27C,f55b5be0-13a3-4f6c-bf48-934437f5712e,F,34,CR,2024-05-10 16:32:00,CALL_CENTER,TRANSFERENCIA,75.03,GTQ,9.6,1,0,117c07e19e28f9cbfb5c795b9bed1d475d869f15486990776b946b91b7babeea
51,CM,COPA AIRLINES,CM7843,f4e023b9efce1c4149d3348e59838792091a914f14cf0ffbbbd35a40f25cba05,SAL,BOG,2025-09-21 13:03:00,2025-09-21 19:47:00,394,ON_TIME,0,B787,ECONOMY,33E,b88ec5f1-7a72-4041-86bf-7a8ea3d807bb,F,15,MX,2025-06-20 14:04:00,APP,TRANSFERENCIA,70.3,USD,70.3,0,0,859eb508bc50eff0ecd8187d18ffd054a3200c408047b3329a8f9a319e13acee
52,FR,RYANAIR,FR8741,3020d7f65f84e440caddd7a9c45354c3dd0d18561b759789bfb18c9fb98cbea5,SAL,LAX,2024-12-15 12:07:00,2024-12-15 17:13:00,283,ON_TIME,0,B787,PREMIUM_ECONOMY,15F,ecf482ed-6211-49fd-bd5b-7c75bb3f9d61,M,29,MX,2024-10-19 19:09:00,WEB,TARJETA,83.04,USD,83.04,1,0,dae46364c225a89d50cde4f86a2e21e766a1518df1bfea5f1687be286a865fc8
53,FR,RYANAIR,FR7934,dd26bd244bbdecaffc062467146cc14b7c708caa10cc211c5175018a93309e83,PTY,LAX,2025-07-13 17:34:00,2025-07-14 02:13:00,354,DELAYED,154,A319,ECONOMY,43A,8f18b0f0-4a93-4562-9777-163d2dc7a93c,M,31,CU,2025-04-04 23:18:00,APP,PUNTOS,93.82,USD,93.82,1,0,4771eddb3bb11d8d49ac9cb766ed4fbd4563def03ffcb8594fa32ee0ccdd6074
54,BA,BRITISH AIRWAYS,BA1476,d21db3fbb8f1a90c10d96e0c46ab824602734c168f1d32893fedccc9f94552d8,MIA,JFK,2024-11-05 16:36:00,2024-11-05 18:40:00,111,ON_TIME,0,B737,ECONOMY,23D,10c8fab7-fce2-4174-8837-62168bbc50d2,M,58,US,2024-10-17 13:33:00,AGENCIA,PAYPAL,86.58,MXN,5.02,1,0,610239f6883006ec7ab8fff7b07eb6661c867ea379e46ff524aad2af2db7c6a5
55,AV,AVIANCA,AV5556,eff7bfe79acb46f61020819513006d15b4627a00db7bef7052f943240ca55c32,LAX,MEX,2025-01-19 09:29:00,2025-01-19 15:39:00,350,ON_TIME,0,A319,ECONOMY,19D,d4f3410f-242d-4b83-a253-e265faf01720,F,37,CO,2024-10-12 21:06:00,WEB,PAYPAL,79.36,USD,79.36,1,0,4f206a7c2b5d26cbf1f6bf148bdd0e4f69558ca42ae217e3ad9c94f9602dcd4b
